,Unnamed: 0,Strain,Type_raw,Effects_raw,Ailment_raw,Flavor_raw,Description_raw,labels,Type_lemma,Effects_lemma,Ailment_lemma,Flavor_lemma,Description_lemma,alltext
0,0,One To One,Hybrid,"Focused, Happy, Giggly, Euphoric, Relaxed, Hungry, Energetic, Creative, Tingly, Sleepy",  ,"Floral, Pungent, Earthy, Wood, Pepper, Diesel, Pine","Named for its equal balance of THC and CBD, One to One by CBD Seeds is a stabilized hybrid bred from Amnesia Haze and a high-CBD landrace strain. Its nuanced citrus notes come out strong from the first opening of the jar until the final exhale. With effects that embrace both the mind and body, One to One delivers blissful relaxation that encourages a positive mood. One to One finishes its flowering cycle after 8 to 9 weeks, or in September for outdoor gardens. Or, comprised of 70 percent indica genetics, is an Israeli strain from the medical cannabis supplier Tikun Olam. Primarily designed for patients with sleep disorders, Or also remedies an array of other symptoms including nausea, pain, inflammation, indigestion, and appetite loss. The One, originally bred by Clackamas Coots or CC, is a perfectly balanced hybrid of two landrace strains. It is sometimes referred to by its genetic combination Thai x Pure Afghan, with its sativa heritage stemming from its Thai background and the Afghan influence bringing a thick resinous frosting of trichomes. This specific combination of two cornerstone landrace strains is known to only be available through a select circle of breeders and growers in Oregon. ",5,['hybrid'],"['energetic', 'tingly', 'happy', 'euphoric', 'hungry', 'giggly', 'sleepy', 'focused', 'relaxed', 'creative']",['  '],"['flowery', 'pungent', 'Diesel', 'Pine', 'Woody', 'Earthy', 'pepper']","['name', 'equal', 'balance', 'THC', 'CBD', 'CBD', 'Seeds', 'stabilize', 'hybrid', 'breed', 'Amnesia', 'Haze', 'high', 'cbd', 'landrace', 'strain', 'nuanced', 'citrus', 'note', 'come', 'strong', 'opening', 'jar', 'final', 'exhale', 'effect', 'embrace', 'mind', 'body', 'deliver', 'blissful', 'relaxation', 'encourage', 'positive', 'mood', 'finish', 'flower', 'cycle', '8', '9', 'week', 'September', 'outdoor', 'garden', 'comprise', '70', 'percent', 'indica', 'genetics', 'israeli', 'strain', 'medical', 'cannabis', 'supplier', 'Tikun', 'Olam', 'primarily', 'design', 'patient', 'sleep', 'disorder', 'remedy', 'array', 'symptom', 'include', 'nausea', 'pain', 'inflammation', 'indigestion', 'appetite', 'loss', 'originally', 'breed', '  ', 'Clackamas', 'Coots', 'CC', 'perfectly', 'balanced', 'hybrid', 'landrace', 'strain', 'refer', 'genetic', 'combination', 'Thai', 'x', 'Pure', 'Afghan', 'sativa', 'heritage', 'stem', 'Thai', 'background', 'afghan', 'influence', 'bring', 'thick', 'resinous', 'frosting', 'trichome', 'specific', 'combination', 'cornerstone', 'landrace', 'strain', 'know', 'available', 'select', 'circle', 'breeder', 'grower', 'Oregon', '  ']","['pepper', 'originally', 'Afghan', 'Effect', 'Mind', 'come', 'Sleep', 'Array', 'Haze', 'deliver', 'Combination', 'Trichome', 'Cornerstone', 'Pine', 'Symptom', 'bring', 'X', 'Embrace', 'Seeds', 'Outdoor', 'stabilize', 'Remedy', 'encourage', '9', 'balanced', 'Sativa', '\xa0 ', 'Mood', 'nuanced', 'Coots', 'Happy', 'Supplier', '8', 'Genetics', 'Cannabis', 'Percent', 'nausea', 'Blissful', 'Landrace', 'Pungent', 'Cbd', 'Strain', 'Loss', 'Breeder', 'Garden', 'perfectly', 'hungry', 'israeli', 'Olam', 'Flower', 'frosting', 'Patient', 'inflammation', '  ', 'Balance', 'Clackamas', 'Cycle', 'Disorder', 'Resinous', 'Diesel', 'know', 'pure', 'giggly', 'Design', 'strong', 'opening', 'final', 'Stem', 'Breed', 'energetic', 'Pain', 'Thai', 'euphoric', 'genetic', 'available', 'Thc', 'Indigestion', 'Equal', 'Citrus', 'Oregon', 'Body', 'Circle', 'Hybrid', 'positive', 'Focused', 'Cc', 'Relaxed', 'Comprise', 'refer', 'Include', 'Grower', 'note', 'Tingly', 'Week', 'Sleepy', 'Indica', 'Amnesia', 'appetite', 'Influence', 'September', '70', 'Finish', 'Medical', 'Relaxation', 'specific', 'high', 'Tikun', 'Exhale', 'primarily', 'Select', 'creative', 'Jar', 'Background', 'Heritage', 'Flowery', 'thick', 'woody', 'Earthy']"
1,1,100 Og,Hybrid,"Focused, Euphoric, Relaxed, Energetic, Creative, Tingly",Depression,"Earthy, Sweet, Citrus","<p>This strain is named after it's high price in it's Hollywood home. As a 50/50 hybrid of indica and sativa, $100 OG does a great job offering pain relief with an alert, cerebral high.</p> $100 OG is a 50/50 hybrid strain that packs a strong punch. The name supposedly refers to both its strength and high price when it first started showing up in Hollywood. As a plant, $100 OG tends to produce large dark green buds with few stems. Users report a strong body effect of an indica for pain relief with the more alert, cerebral feeling thanks to its sativa side.",5,['hybrid'],"['energetic', 'tingly', 'creative', 'focused', 'relaxed', 'euphoric']",['depression'],"['earthy', 'Citrus', 'Sweet']","['<', 'p', '>', 'strain', 'name', 'high', 'price', 'Hollywood', 'home', '50/50', 'hybrid', 'indica', 'sativa', '$', '100', 'OG', 'great', 'job', 'offer', 'pain', 'relief', 'alert', 'cerebral', 'high.</p', '>', '$', '100', 'OG', '50/50', 'hybrid', 'strain', 'pack', 'strong', 'punch', 'supposedly', 'refer', 'strength', 'high', 'price', 'start', 'show', 'Hollywood', 'plant', '$', '100', 'OG', 'tend', 'produce', 'large', 'dark', 'green', 'bud', 'stem', 'user', 'report', 'strong', 'body', 'effect', 'indica', 'pain', 'relief', 'alert', 'cerebral', 'feeling', 'thank', 'sativa']","['cerebral', '>', 'Strength', 'Pack', 'Body', 'feeling', 'depression', 'Sativa', 'Hybrid', 'sweet', 'Produce', 'Green', 'Price', 'focus', 'relaxed', 'refer', 'Plant', 'Effect', 'User', 'Report', 'Alert', 'Tingly', 'Relief', 'Dark', 'offer', 'Punch', '100', 'tend', 'Indica', 'strong', 'Stem', 'Pain', 'high', 'great', 'energetic', 'Strain', 'large', '<', 'Start', 'Job', 'High.</P', 'creative', 'euphoric', '50/50', '$', 'supposedly', 'Home', 'Hollywood', 'Bud', ' ', 'Limonene', 'Earthy', 'Citrus', 'P', 'Og', 'thank']"
2,2,1024,"Sativa, Hybrid","Happy, Relaxed, Energetic, Creative, Anxious, Uplifted, Mouth, Dry","Inflammation, Depression, Stress, Pain","Spicy, Wood, Sage, Herbal, Pine"," 1024 is a sativa-dominant hybrid bred in Spain by Medical Seeds Co. The breeders claim to guard the secret genetics due to security reasons, but regardless of its genetic heritage, 1024 is a THC powerhouse with a sweet and spicy bouquet. Subtle fruit flavors mix with an herbal musk to produce uplifting sativa effects. One specific phenotype is noted for having a pungent odor that fills a room, similar to burning incense.",1,"['sativa', 'Hybrid']","['energetic', 'Dry', 'happy', 'anxious', 'relaxed', 'creative', 'Mouth', 'Uplifted']","['inflammation', 'Pain', 'Depression', 'stress']","['spicy', 'Sage', 'Pine', 'Woody', 'Herbal']","[' ', '1024', 'sativa', 'dominant', 'hybrid', 'breed', 'Spain', 'Medical', 'Seeds', 'Co.', 'breeder', 'claim', 'guard', 'secret', 'genetics', 'security', 'reason', 'regardless', 'genetic', 'heritage', '1024', 'THC', 'powerhouse', 'sweet', 'spicy', 'bouquet', 'subtle', 'fruit', 'flavor', 'mix', 'herbal', 'musk', 'produce', 'uplifting', 'sativa', 'effect', 'specific', 'phenotype', 'note', 'have', 'pungent', 'odor', 'fill', 'room', 'similar', 'burn', 'incense']","['spicy', 'subtle', 'secret', '  ', 'depression', 'Sativa', 'Hybrid', 'Phenotype', 'sweet', 'Produce', 'Guard', 'Relaxed', 'Effect', 'Uplifted', 'Stress', 'note', 'Dry', 'happy', 'anxious', 'Sage', 'Mix', 'Fill', 'Incense', 'Room', 'Genetics', 'Uplifting', 'Bouquet', 'Herbal', 'medical', 'Similar', 'Powerhouse', 'specific', 'Pain', 'energetic', 'Breed', 'pungent', 'Pine', 'Breeder', 'Burn', 'Musk', '1024', 'Odor', 'Creative', 'Co.', 'Genetic', 'Heritage', 'reason', 'Seeds', 'Thc', 'Regardless', 'Fruit', ' ', 'Woody', 'Flavor', 'Spain', 'Dominant', 'Claim', 'Mouth', 'Security', 'inflammation']"
3,3,13 Dawgs,Hybrid,"Relaxed, Hungry, Creative, Uplifted, Tingly",,"Grapefruit, Apricot, Citrus","13 Dawgs is a hybrid of G13 and Chemdawg genetics bred by Canadian LP Delta 9 BioTech. The two potent strains mix to create a balance between indica and sativa effects. 13 Dawgs has a sweet earthy musk that brings a blend of woody citrus flavors. The effects of 13 Dawgs induce a happy, relaxed body buzz with a creative and focused mind that counters depression and stimulates the appetite.",5,['hybrid'],"['tingly', 'hungry', 'relaxed', 'creative', 'Uplifted']",[],"['Grapefruit', 'Citrus', 'Apricot']","['13', 'Dawgs', 'hybrid', 'G13', 'Chemdawg', 'genetic', 'breed', 'canadian', 'LP', 'Delta', '9', 'BioTech', 'potent', 'strain', 'mix', 'create', 'balance', 'indica', 'sativa', 'effect', '13', 'Dawgs', 'sweet', 'earthy', 'musk', 'bring', 'blend', 'woody', '  ', 'citrus', 'flavor', 'effect', '13', 'Dawgs', 'induce', 'happy', 'relaxed', 'body', 'buzz', 'creative', 'focused', 'mind', 'counter', 'depression', 'stimulate', 'appetite']","['dawg', 'Body', 'Lp', '13', 'Grapefruit', 'sativa', 'Hybrid', '  ', 'Balance', 'sweet', 'create', 'Depression', 'Focused', 'relaxed', 'Effect', 'Uplifted', 'Mind', 'Delta', 'Tingly', 'Happy', 'Mix', 'Indica', 'Appetite', 'Chemdawg', 'stimulate', 'induce', 'Breed', 'Counter', 'Strain', 'Bring', 'Blend', 'Musk', 'Hungry', 'Biotech', 'Creative', 'G13', 'genetic', 'canadian', 'potent', 'Apricot', 'Flavor', 'Woody', 'Earthy', 'Citrus', 'Buzz', '9']"
4,4,24K Gold,Hybrid,"Happy, Euphoric, Relaxed, Uplifted, Talkative",,"Earthy, Orange, Citrus","Also known as Kosher Tangie, 24k Gold is a 60% indica-dominant hybrid that combines the legendary LA strain Kosher Kush with champion sativa Tangie to create something quite unique. Growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. Most phenotypes will exhibit a sweet orange aroma from the Tangie along with the dark coloration of the Kosher Kush, and will offer a strong citrus flavor when smoked or vaped. THC levels range from 18% to 24%; definitely not for novice users! ",5,['hybrid'],"['happy', 'talkative', 'relaxed', 'euphoric', 'uplifted']",[],"['earthy', 'Citrus', 'Orange']","['know', 'Kosher', 'Tangie', '24k', 'gold', '60', 'indica', 'dominant', 'hybrid', 'combine', 'legendary', 'LA', 'strain', 'Kosher', 'Kush', 'champion', 'sativa', 'Tangie', 'create', 'unique', 'grow', 'tall', 'vegetative', 'cycle', 'stretchy', 'flower', 'need', 'experienced', 'hand', 'grow', 'indoor', 'phenotype', 'exhibit', 'sweet', 'orange', 'aroma', 'Tangie', 'dark', 'coloration', 'Kosher', 'Kush', 'offer', 'strong', 'citrus', 'flavor', 'smoke', 'vape', 'thc', 'level', 'range', '18', '24', 'definitely', 'novice', 'user', '  ']","['vegetative', 'experienced', 'sativa', 'Hybrid', 'La', 'Phenotype', 'stretchy', 'gold', 'create', 'Sweet', '\xa0 ', 'relaxed', 'Cycle', 'Uplifted', 'Novice', 'User', 'grow', 'Happy', '18', 'know', 'Kosher', 'Dark', 'offer', 'Indica', 'strong', 'Combine', 'Level', '24', 'Orange', 'Champion', 'Range', 'Strain', 'Tall', 'Vape', 'Unique', 'euphoric', 'definitely', 'legendary', '24', 'K', 'Smoke', 'Flower', 'Hand', 'Coloration', 'Thc', 'Aroma', 'Flavor', 'Exhibit', 'nee', 'earthy', 'talkative', 'Citrus', '60', 'Dominant', 'Tangie', 'Indoor', 'Kush']"
5,5,3 Bears Og,Indica,,,,"3 Bears OG by Mephisto Genetics is an autoflowering cross of Bear OG, Karma’s OG Cut, and Triangle Kush. This indica-dominant strain generates pungent, flavorful buds in a smaller, more manageable plant size. Mephisto Genetics describes 3 Bears OG as a cornerstone to their artisanal collection, blending the best attributes of the fabled OG Kush with a compact, controllable growth structure. The 3 Bears OG has an approximate 70-day growth cycle and offers effects that stimulate the appetite while leading the body toward sleep.",4,['Indica'],[],[],[],"['3', 'Bears', 'OG', 'Mephisto', 'Genetics', 'autoflowering', 'cross', 'Bear', 'OG', 'Karma', 'OG', 'Cut', 'Triangle', 'Kush', 'indica', 'dominant', 'strain', 'generate', 'pungent', 'flavorful', 'bud', 'small', 'manageable', 'plant', 'size', 'Mephisto', 'Genetics', 'describe', '3', 'Bears', 'OG', 'cornerstone', 'artisanal', 'collection', 'blend', 'good', 'attribute', 'fabled', 'OG', 'Kush', 'compact', 'controllable', 'growth', 'structure', '3', 'Bears', 'OG', 'approximate', '70-day', 'growth', 'cycle', 'offer', 'effect', 'stimulate', 'appetite', 'lead', 'body', 'sleep']","['good', 'Body', 'Approximate', 'controllable', 'flavorful', 'Plant', 'Compact', 'Cycle', 'Effect', 'Autoflowering', 'Bears', 'Sleep', 'Fabled', 'Cut', 'offer', 'Indica', 'Genetics', 'Triangle', 'Appetite', '3', 'lead', 'stimulate', 'growth', 'artisanal', 'Pungent', 'Cornerstone', 'Collection', 'Strain', 'Cross', 'Blend', 'small', '70-day', 'Attribute', 'Size', 'Mephisto', 'Karma', 'Bud', 'describe', 'manageable', 'generate', 'Bear', 'Dominant', 'Structure', 'Og', 'Kush']"
6,6,3 Kings,Hybrid,"Happy, Euphoric, Relaxed, Hungry, Uplifted",,"Earthy, Pungent, Sweet","The 3 Kings marijuana strain, a holy trinity of Headband, Sour Diesel, and OG Kush, is a sativa-dominant hybrid and genetic masterpiece. Sour tanginess reek from the sage green buds, and its frosty coat gives you a fair warning of the 3 Kings’ potency. Medical patients will appreciate the versatility of this strain’s medicinal effects as it relieves pain, stress, and nausea without heavy sedation.",5,['hybrid'],"['happy', 'relaxed', 'hungry', 'euphoric', 'uplifted']",[],"['earthy', 'pungent', 'sweet']","['3', 'king', 'marijuana', 'strain', 'holy', 'trinity', 'Headband', 'Sour', 'Diesel', 'OG', 'Kush', 'sativa', 'dominant', 'hybrid', 'genetic', 'masterpiece', 'sour', 'tanginess', 'reek', 'sage', 'green', 'bud', 'frosty', 'coat', 'give', 'fair', 'warning', '3', 'king', 'potency', 'medical', 'patient', 'appreciate', 'versatility', 'strain', 'medicinal', 'effect', 'relieve', 'pain', 'stress', 'nausea', 'heavy', 'sedation']","['frosty', 'appreciate', 'relieve', 'Masterpiece', 'King', 'Sativa', 'Hybrid', 'Warning', 'Sweet', 'Coat', 'Green', 'Heavy', 'relaxed', 'Sedation', 'Potency', 'Effect', 'Uplifted', 'Marijuana', 'Stress', 'Happy', 'Sage', 'Diesel', 'Versatility', 'Tanginess', '3', 'Holy', 'Fair', 'medical', 'Nausea', 'Pain', 'pungent', 'strain', 'hungry', 'euphoric', 'sour', 'genetic', 'Medicinal', 'Bud', 'Trinity', 'Headband', 'Earthy', 'patient', 'dominant', 'Reek', 'Og', 'Kush']"
7,7,303 Og,Indica,"Focused, Happy, Giggly, Euphoric, Relaxed, Hungry, Anxious, Uplifted, Mouth, Dry","Depression, Stress, Insomnia, Pain","Earthy, Pungent, Pine, Citrus"," The indica-dominant 303 OG is a Colorado strain bred by crossing Pre-98 Bubba Kush and Chemdawg. Its parent strains pass on a complex flavor profile of coffee and spice with diesel undertones. Its buzz can be described as social and creative, a dreamy experience perfect for letting off steam at the end of the work day. The happy euphoria induced by 303 OG may help patients treating depression, anxiety, and stress disorders.",4,['Indica'],"['happy', 'dry', 'anxious', 'giggly', 'relaxed', 'focused', 'hungry', 'euphoric', 'Mouth', 'Uplifted']","['pain', 'Depression', 'Stress', 'Insomnia']","['earthy', 'Citrus', 'pungent', 'Pine']","[' ', 'indica', 'dominant', '303', 'OG', 'Colorado', 'strain', 'breed', 'cross', 'Pre-98', 'Bubba', 'Kush', 'Chemdawg', 'parent', 'strain', 'pass', 'complex', 'flavor', 'profile', 'coffee', 'spice', 'diesel', 'undertone', 'buzz', 'describe', 'social', 'creative', 'dreamy', 'experience', 'perfect', 'let', 'steam', 'end', 'work', 'day', 'happy', 'euphoria', 'induce', '303', 'OG', 'help', 'patient', 'treat', 'depression', 'anxiety', 'stress', 'disorder']","['profile', 'end', 'Euphoria', '  ', 'Depression', 'Social', 'Focused', 'relaxed', 'Steam', 'experience', 'Bubba', 'Disorder', 'Uplifted', 'Parent', 'Stress', 'Happy', 'dry', 'anxious', 'Diesel', 'giggly', 'Complex', 'Indica', 'Treat', 'Chemdawg', 'Colorado', 'induce', 'Pain', 'Breed', 'pungent', 'Spice', 'Pine', 'Strain', 'Day', 'Cross', 'Help', 'Anxiety', 'Insomnia', 'Hungry', '303', 'euphoric', 'creative', 'Pass', 'Coffee', 'let', 'describe', ' ', 'Flavor', 'earthy', 'perfect', 'undertone', 'dreamy', 'Citrus', 'Dominant', 'work', 'Buzz', 'Patient', 'Mouth', 'Og', 'Pre-98', 'Kush']"
8,8,3D Cbd,Sativa,"Happy, Focused, Relaxed, Uplifted, Mouth, Dry, Tingly, Sleepy, Talkative","Inflammation, Depression, Stress, Pain","Earthy, Wood, Floral"," 3D CBD from Snoop Dogg’s branded line of cannabis strains was crafted with patients in mind. With a THC:CBD ratio of about 5:8, this earthy-flavored sativa is preferred for treating pain, inflammation, and muscle tension. Consumers susceptible to THC-induced anxiety may also appreciate the sobering, relaxing balance CBD has to offer.",3,['sativa'],"['tingly', 'happy', 'dry', 'sleepy', 'talkative', 'focused', 'relaxed', 'Mouth', 'Uplifted']","['inflammation', 'Pain', 'Depression', 'stress']","['earthy', 'flowery', 'woody']","[' ', '3d', 'CBD', 'Snoop', 'Dogg', 'branded', 'line', 'cannabis', 'strain', 'craft', 'patient', 'mind', 'THC', 'CBD', 'ratio', '5:8', 'earthy', 'flavor', 'sativa', 'prefer', 'treat', 'pain', 'inflammation', 'muscle', 'tension', 'consumer', 'susceptible', 'thc', 'induce', 'anxiety', 'appreciate', 'sobering', 'relax', 'balance', 'CBD', 'offer']","['appreciate', '  ', 'depression', 'Sativa', 'Balance', '3d', 'Focused', 'relaxed', 'Uplifted', 'tension', 'Mind', 'consumer', 'Stress', 'Tingly', 'Happy', 'dry', 'sobering', 'offer', 'relax', 'treat', 'sleepy', 'Cannabis', 'Line', 'induce', 'Pain', 'Snoop', 'Cbd', 'Strain', 'anxiety', 'prefer', 'ratio', '5:8', 'Flowery', 'Thc', 'Dogg', ' ', 'Woody', 'Branded', 'earthy', 'talkative', 'patient', 'Flavor', 'muscle', 'susceptible', 'Craft', 'Mouth', 'inflammation']"
9,9,3Rd Coast Panama Chunk,Hybrid,"Happy, Uplifted, Talkative, Energetic",,"Diesel, Pine","3rd Coast Panama Chunk by Bedford Grow is a cross between East Coast Panama Chunk (Panama F7 x Deep Chunk) and Sour Diesel. This vigorous strain creates dense, resinous buds that reek of pine and fuel. Panama Chunk is a potent and versatile hybrid that provides immediate mood elevation and stress relief, making it ideal after a long day. The strain’s varied cerebral and physical effects help consumers abate anxiety and insomnia while also tending to migraines and muscular pain. ",5,['hybrid'],"['talkative', 'energetic', 'uplifted', 'happy']",[],"['diesel', 'Pine']","['3rd', 'Coast', 'Panama', 'Chunk', 'Bedford', 'Grow', 'cross', 'East', 'Coast', 'Panama', 'Chunk', 'Panama', 'f7', 'x', 'Deep', 'Chunk', 'Sour', 'Diesel', 'vigorous', 'strain', 'create', 'dense', 'resinous', 'bud', 'reek', 'pine', 'fuel', 'Panama', 'Chunk', 'potent', 'versatile', 'hybrid', 'provide', 'immediate', 'mood', 'elevation', 'stress', 'relief', 'make', 'ideal', 'long', 'day', 'strain', 'varied', 'cerebral', 'physical', 'effect', 'help', 'consumer', 'abate', 'anxiety', 'insomnia', 'tend', 'migraine', 'muscular', 'pain', '  ']","['cerebral', 'muscular', 'provide', 'Elevation', 'Hybrid', 'Versatile', 'f7', 'create', '\xa0 ', 'Bedford', '3rd', 'Fuel', 'Mood', 'Effect', 'Uplifted', 'consumer', 'grow', 'stress', 'Happy', 'resinous', 'Diesel', 'Relief', 'Varied', 'tend', 'vigorous', 'long', 'Physical', 'Pain', 'energetic', 'Pine', 'Strain', 'Day', 'Coast', 'Cross', 'Help', 'Anxiety', 'Insomnia', 'East', 'Deep', 'x', 'immediate', 'Ideal', 'dense', 'Migraine', 'potent', 'Bud', 'Panama', 'Chunk', 'talkative', 'Reek', 'abate', 'sour']"
